# uniform Lorentzian, HWHM 0.15 eV, area of each line = oscillator strength
energy_eV	wavelength_nm	intensity
2.618809	473.4373	1.02103721e-01
2.621061	473.0306	1.03104057e-01
2.623312	472.6247	1.04119458e-01
2.625563	472.2195	1.05150211e-01
2.627814	471.8150	1.06196607e-01
2.630065	471.4111	1.07258944e-01
2.632316	471.0080	1.08337525e-01
2.634567	470.6055	1.09432662e-01
2.636818	470.2038	1.10544673e-01
2.639070	469.8027	1.11673881e-01
2.641321	469.4023	1.12820617e-01
2.643572	469.0026	1.13985222e-01
2.645823	468.6035	1.15168039e-01
2.648074	468.2052	1.16369422e-01
2.650325	467.8075	1.17589732e-01
2.652576	467.4105	1.18829337e-01
2.654827	467.0141	1.20088613e-01
2.657079	466.6185	1.21367945e-01
2.659330	466.2235	1.22667725e-01
2.661581	465.8292	1.23988353e-01
2.663832	465.4355	1.25330241e-01
2.666083	465.0425	1.26693804e-01
2.668334	464.6502	1.28079470e-01
2.670585	464.2585	1.29487676e-01
2.672836	463.8675	1.30918865e-01
2.675088	463.4771	1.32373492e-01
2.677339	463.0874	1.33852022e-01
2.679590	462.6984	1.35354926e-01
2.681841	462.3100	1.36882689e-01
2.684092	461.9223	1.38435804e-01
2.686343	461.5352	1.40014773e-01
2.688594	461.1488	1.41620111e-01
2.690845	460.7630	1.43252341e-01
2.693097	460.3778	1.44911997e-01
2.695348	459.9933	1.46599624e-01
2.697599	459.6095	1.48315778e-01
2.699850	459.2262	1.50061026e-01
2.702101	458.8437	1.51835946e-01
2.704352	458.4617	1.53641126e-01
2.706603	458.0804	1.55477167e-01
2.708854	457.6997	1.57344679e-01
2.711106	457.3197	1.59244286e-01
2.713357	456.9403	1.61176622e-01
2.715608	456.5615	1.63142333e-01
2.717859	456.1833	1.65142076e-01
2.720110	455.8058	1.67176519e-01
2.722361	455.4289	1.69246344e-01
2.724612	455.0526	1.71352242e-01
2.726863	454.6769	1.73494917e-01
2.729115	454.3019	1.75675084e-01
2.731366	453.9275	1.77893468e-01
2.733617	453.5537	1.80150807e-01
2.735868	453.1805	1.82447850e-01
2.738119	452.8079	1.84785355e-01
2.740370	452.4359	1.87164093e-01
2.742621	452.0646	1.89584844e-01
2.744872	451.6938	1.92048397e-01
2.747124	451.3237	1.94555553e-01
2.749375	450.9542	1.97107120e-01
2.751626	450.5852	1.99703917e-01
2.753877	450.2169	2.02346770e-01
2.756128	449.8492	2.05036512e-01
2.758379	449.4820	2.07773984e-01
2.760630	449.1155	2.10560033e-01
2.762881	448.7496	2.13395513e-01
2.765133	448.3843	2.16281278e-01
2.767384	448.0195	2.19218192e-01
2.769635	447.6554	2.22207116e-01
2.771886	447.2918	2.25248915e-01
2.774137	446.9289	2.28344455e-01
2.776388	446.5665	2.31494597e-01
2.778639	446.2047	2.34700203e-01
2.780890	445.8435	2.37962129e-01
2.783142	445.4829	2.41281224e-01
2.785393	445.1228	2.44658330e-01
2.787644	444.7634	2.48094278e-01
2.789895	444.4045	2.51589886e-01
2.792146	444.0462	2.55145958e-01
2.794397	443.6885	2.58763280e-01
2.796648	443.3314	2.62442618e-01
2.798899	442.9748	2.66184714e-01
2.801151	442.6188	2.69990284e-01
2.803402	442.2634	2.73860013e-01
2.805653	441.9085	2.77794553e-01
2.807904	441.5543	2.81794519e-01
2.810155	441.2005	2.85860484e-01
2.812406	440.8474	2.89992974e-01
2.814657	440.4948	2.94192466e-01
2.816908	440.1428	2.98459379e-01
2.819160	439.7913	3.02794073e-01
2.821411	439.4404	3.07196841e-01
2.823662	439.0901	3.11667904e-01
2.825913	438.7403	3.16207403e-01
2.828164	438.3911	3.20815397e-01
2.830415	438.0424	3.25491852e-01
2.832666	437.6943	3.30236634e-01
2.834917	437.3467	3.35049505e-01
2.837169	436.9997	3.39930114e-01
2.839420	436.6533	3.44877985e-01
2.841671	436.3074	3.49892516e-01
2.843922	435.9620	3.54972964e-01
2.846173	435.6172	3.60118441e-01
2.848424	435.2729	3.65327900e-01
2.850675	434.9292	3.70600130e-01
2.852926	434.5860	3.75933745e-01
2.855178	434.2434	3.81327174e-01
2.857429	433.9013	3.86778652e-01
2.859680	433.5597	3.92286208e-01
2.861931	433.2187	3.97847659e-01
2.864182	432.8782	4.03460595e-01
2.866433	432.5382	4.09122376e-01
2.868684	432.1988	4.14830114e-01
2.870935	431.8599	4.20580671e-01
2.873187	431.5215	4.26370645e-01
2.875438	431.1837	4.32196366e-01
2.877689	430.8464	4.38053882e-01
2.879940	430.5096	4.43938957e-01
2.882191	430.1734	4.49847060e-01
2.884442	429.8377	4.55773361e-01
2.886693	429.5025	4.61712727e-01
2.888944	429.1678	4.67659716e-01
2.891196	428.8336	4.73608577e-01
2.893447	428.5000	4.79553244e-01
2.895698	428.1669	4.85487342e-01
2.897949	427.8343	4.91404187e-01
2.900200	427.5022	4.97296788e-01
2.902451	427.1706	5.03157854e-01
2.904702	426.8396	5.08979804e-01
2.906953	426.5090	5.14754773e-01
2.909205	426.1790	5.20474628e-01
2.911456	425.8495	5.26130981e-01
2.913707	425.5205	5.31715208e-01
2.915958	425.1920	5.37218467e-01
2.918209	424.8640	5.42631722e-01
2.920460	424.5365	5.47945768e-01
2.922711	424.2095	5.53151258e-01
2.924962	423.8830	5.58238734e-01
2.927214	423.5570	5.63198663e-01
2.929465	423.2316	5.68021467e-01
2.931716	422.9066	5.72697564e-01
2.933967	422.5821	5.77217408e-01
2.936218	422.2581	5.81571530e-01
2.938469	421.9346	5.85750578e-01
2.940720	421.6116	5.89745370e-01
2.942971	421.2891	5.93546930e-01
2.945223	420.9671	5.97146540e-01
2.947474	420.6456	6.00535785e-01
2.949725	420.3246	6.03706598e-01
2.951976	420.0041	6.06651307e-01
2.954227	419.6840	6.09362680e-01
2.956478	419.3645	6.11833965e-01
2.958729	419.0454	6.14058935e-01
2.960980	418.7268	6.16031924e-01
2.963232	418.4087	6.17747863e-01
2.965483	418.0911	6.19202314e-01
2.967734	417.7740	6.20391496e-01
2.969985	417.4573	6.21312311e-01
2.972236	417.1411	6.21962369e-01
2.974487	416.8254	6.22339995e-01
2.976738	416.5102	6.22444248e-01
2.978989	416.1955	6.22274923e-01
2.981241	415.8812	6.21832556e-01
2.983492	415.5674	6.21118417e-01
2.985743	415.2541	6.20134502e-01
2.987994	414.9412	6.18883521e-01
2.990245	414.6289	6.17368880e-01
2.992496	414.3170	6.15594658e-01
2.994747	414.0055	6.13565579e-01
2.996998	413.6945	6.11286983e-01
2.999250	413.3840	6.08764792e-01
3.001501	413.0740	6.06005474e-01
3.003752	412.7644	6.03016001e-01
3.006003	412.4553	5.99803808e-01
3.008254	412.1467	5.96376748e-01
3.010505	411.8385	5.92743052e-01
3.012756	411.5308	5.88911275e-01
3.015008	411.2235	5.84890257e-01
3.017259	410.9167	5.80689074e-01
3.019510	410.6103	5.76316989e-01
3.021761	410.3044	5.71783412e-01
3.024012	409.9990	5.67097853e-01
3.026263	409.6940	5.62269880e-01
3.028514	409.3895	5.57309078e-01
3.030765	409.0854	5.52225011e-01
3.033017	408.7818	5.47027184e-01
3.035268	408.4786	5.41725009e-01
3.037519	408.1759	5.36327774e-01
3.039770	407.8736	5.30844613e-01
3.042021	407.5718	5.25284479e-01
3.044272	407.2704	5.19656120e-01
3.046523	406.9695	5.13968058e-01
3.048774	406.6690	5.08228570e-01
3.051026	406.3689	5.02445672e-01
3.053277	406.0693	4.96627103e-01
3.055528	405.7701	4.90780317e-01
3.057779	405.4714	4.84912473e-01
3.060030	405.1731	4.79030426e-01
3.062281	404.8753	4.73140724e-01
3.064532	404.5779	4.67249604e-01
3.066783	404.2809	4.61362992e-01
3.069035	403.9844	4.55486501e-01
3.071286	403.6883	4.49625437e-01
3.073537	403.3926	4.43784797e-01
3.075788	403.0973	4.37969278e-01
3.078039	402.8025	4.32183279e-01
3.080290	402.5082	4.26430909e-01
3.082541	402.2142	4.20715993e-01
3.084792	401.9207	4.15042083e-01
3.087044	401.6276	4.09412462e-01
3.089295	401.3350	4.03830155e-01
3.091546	401.0427	3.98297940e-01
3.093797	400.7509	3.92818354e-01
3.096048	400.4595	3.87393704e-01
3.098299	400.1686	3.82026079e-01
3.100550	399.8780	3.76717357e-01
3.102801	399.5879	3.71469216e-01
3.105053	399.2982	3.66283144e-01
3.107304	399.0089	3.61160449e-01
3.109555	398.7201	3.56102269e-01
3.111806	398.4316	3.51109577e-01
3.114057	398.1436	3.46183199e-01
3.116308	397.8560	3.41323812e-01
3.118559	397.5688	3.36531964e-01
3.120810	397.2820	3.31808074e-01
3.123062	396.9957	3.27152442e-01
3.125313	396.7097	3.22565259e-01
3.127564	396.4242	3.18046615e-01
3.129815	396.1391	3.13596503e-01
