# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
7.3,-0.0002985585849311747,6.787791419533971e-17,7.694462613702178e-08
7.4,-0.00028018493583902617,7.317347919518535e-17,7.739443108457981e-08
7.5,-0.0002614344666708506,5.100967644520574e-17,7.776252137063585e-08
7.6,-0.00023968536649143343,5.257994909072352e-17,7.817695670875274e-08
7.7,-0.00021644774082651364,6.884385874724528e-17,7.848202296757644e-08
7.8,-0.00019358477549032236,5.4157413825865565e-17,7.865042591411159e-08
7.9,-0.00016860911334159372,4.490197052347331e-17,7.884446589648108e-08
8.0,-0.00014172512713718285,6.493643092805051e-17,7.898894222264112e-08
8.1,-0.00011563292074365755,6.365343995414075e-17,7.898689232697535e-08
8.2,-8.862771532057968e-05,4.751994567437532e-17,7.897840030694668e-08
8.3,-5.958898825540747e-05,6.320596983220416e-17,7.897454691088807e-08
8.4,-3.14054313807581e-05,7.62702598952333e-17,7.88534775304588e-08
8.5,-3.608790814792263e-06,6.062524986416166e-17,7.869689582787143e-08
8.6,2.5931323450445853e-05,6.62576392314349e-17,7.857669148031703e-08
8.7,5.482870800246852e-05,8.927985055308735e-17,7.838826884192827e-08
8.8,8.216965962804646e-05,8.205403682415707e-17,7.814862063133293e-08
8.9,0.00011052647559621842,7.690189184619569e-17,7.795065074498082e-08
9.0,0.00013857794552973586,1.0202392458810343e-16,7.772950379564144e-08
9.1,0.00016422853824976278,1.0816685462790986e-16,7.745531034570392e-08
9.2,0.0001898159597660761,9.656635395483508e-17,7.720809118726776e-08
9.3,0.00021537938526398258,1.1557178754077013e-16,7.696133732864501e-08
9.4,0.0002381377938054,1.3488975136928484e-16,7.666454459444415e-08
9.5,0.00025958042158043417,1.2424046002610059e-16,7.636989682481859e-08
9.6,0.00028106378929640977,1.3188541519382657e-16,7.607296492018256e-08
9.7,0.00029979068087488526,1.591281177292559e-16,7.57212599003999e-08
9.8,0.0003160055586834215,1.568635910851334e-16,7.534316579912307e-08
9.9,0.000332014237255939,1.530704818736925e-16,7.494055565386396e-08
10.0,0.00034567932676091823,1.7990887895257588e-16,7.446297652731625e-08
10.1,0.00035592173969098146,1.9003964583841522e-16,7.392716159914588e-08
10.2,0.00036539796335926183,1.7955148653051604e-16,7.333767268402402e-08
10.3,0.0003731455476740082,1.9797766472798648e-16,7.264039832652936e-08
10.4,0.00037702062839752514,2.1950022515540705e-16,7.184709676101966e-08
10.5,0.00037935268085844006,2.0996309852171164e-16,7.097447447748065e-08
10.6,0.00038058116734074804,2.1542348068716275e-16,6.996164974227623e-08
10.7,0.00037802899507235707,2.4229394571746157e-16,6.880966725790293e-08
10.8,0.00037311231197033166,2.4056918056888397e-16,6.755999938602469e-08
10.9,0.00036755609352154647,2.336757036748763e-16,6.615489770836114e-08
11.0,0.0003588211423190066,2.5744345882113397e-16,6.457097246942454e-08
11.1,0.0003470619648752864,2.6692890079889125e-16,6.287650877045487e-08
11.2,0.0003348595842079989,2.5313648173538784e-16,6.1040363750253e-08
11.3,0.00032045522961306026,2.662614125641874e-16,5.900591431296825e-08
11.4,0.00030271766660702206,2.8518050534172245e-16,5.685178044418354e-08
11.5,0.000284449420860351,2.7231447335711464e-16,5.459945024602517e-08
11.6,0.0002651250834216678,2.7118985173915525e-16,5.2167829755856093e-08
11.7,0.0002426322196102297,2.932612283467542e-16,4.9615011656821916e-08
11.8,0.0002193136908569751,2.8816407773965174e-16,4.7026967806605416e-08
11.9,0.00019602720381123111,2.7458905580905413e-16,4.43277328347012e-08
12.0,0.00017023412269946122,2.916505310894777e-16,4.152466548203333e-08
12.1,0.00014325907310005348,2.9725373391738866e-16,3.875359563417762e-08
12.2,0.00011715159965609204,2.77508053671852e-16,3.5984103177894604e-08
12.3,8.961139914097081e-05,2.8281208352419495e-16,3.3161223229233635e-08
12.4,6.064661417185278e-05,2.9692022230353026e-16,3.042989626604604e-08
12.5,3.301353206373551e-05,2.7925170595287726e-16,2.7837229452376468e-08
12.6,5.256103479885152e-06,2.703344879891365e-16,2.528336224166686e-08
12.7,-2.3899918754674562e-05,2.8649768752099893e-16,2.2870022704568626e-08
12.8,-5.16500814584346e-05,2.7752957932041247e-16,2.0726776148686406e-08
12.9,-7.821200534641102e-05,2.572227778267322e-16,1.875143350469896e-08
13.0,-0.00010578727313766241,2.6753390126225404e-16,1.6960958070586378e-08
13.1,-0.0001321920395897687,2.6965076598101974e-16,1.5537480911012174e-08
13.2,-0.00015632282756917272,2.4497671391570555e-16,1.4426862440459682e-08
13.3,-0.00018072409272914015,2.4353215476187676e-16,1.3549777895761122e-08
13.4,-0.00020434615694411973,2.5409087316114856e-16,1.3084291166857376e-08
13.5,-0.00022501476458018126,2.3352844466366684e-16,1.305968093360908e-08
13.6,-0.0002449518544747215,2.1900149918698754e-16,1.3325550271325458e-08
13.7,-0.0002644739639898903,2.3146786723838767e-16,1.399341202880284e-08
