diameter_nm	wavelength_nm	qabs	cabs_nm2
35.0	482.0	5.73066404e-01	5.51354494e+02
35.0	482.5	5.64555599e-01	5.43166140e+02
35.0	483.0	5.56227092e-01	5.35153177e+02
35.0	483.5	5.48075867e-01	5.27310780e+02
35.0	484.0	5.40097073e-01	5.19634281e+02
35.0	484.5	5.32286019e-01	5.12119166e+02
35.0	485.0	5.24638168e-01	5.04761070e+02
35.0	485.5	5.17149129e-01	4.97555771e+02
35.0	486.0	5.09814657e-01	4.90499182e+02
35.0	486.5	5.02630642e-01	4.83587349e+02
35.0	487.0	4.95593106e-01	4.76816446e+02
35.0	487.5	4.88698198e-01	4.70182767e+02
35.0	488.0	4.81942190e-01	4.63682726e+02
35.0	488.5	4.75321472e-01	4.57312849e+02
35.0	489.0	4.68832546e-01	4.51069770e+02
35.0	489.5	4.62472026e-01	4.44950232e+02
35.0	490.0	4.56236628e-01	4.38951077e+02
35.0	490.5	4.50123173e-01	4.33069244e+02
35.0	491.0	4.44128578e-01	4.27301767e+02
35.0	491.5	4.38249855e-01	4.21645773e+02
35.0	492.0	4.32484107e-01	4.16098474e+02
35.0	492.5	4.26828525e-01	4.10657166e+02
35.0	493.0	4.21280385e-01	4.05319230e+02
35.0	493.5	4.15837044e-01	4.00082122e+02
35.0	494.0	4.10495939e-01	3.94943377e+02
35.0	494.5	4.05254582e-01	3.89900600e+02
35.0	495.0	4.00110559e-01	3.84951470e+02
35.0	495.5	3.95061528e-01	3.80093733e+02
35.0	496.0	3.90105214e-01	3.75325200e+02
35.0	496.5	3.85239409e-01	3.70643747e+02
35.0	497.0	3.80461970e-01	3.66047312e+02
35.0	497.5	3.75770813e-01	3.61533890e+02
35.0	498.0	3.71163917e-01	3.57101537e+02
35.0	498.5	3.66639316e-01	3.52748361e+02
35.0	499.0	3.62195103e-01	3.48472526e+02
35.0	499.5	3.57829420e-01	3.44272248e+02
35.0	500.0	3.53540467e-01	3.40145791e+02
35.0	500.5	3.49326490e-01	3.36091470e+02
35.0	501.0	3.45185786e-01	3.32107646e+02
35.0	501.5	3.41116698e-01	3.28192725e+02
35.0	502.0	3.37117616e-01	3.24345157e+02
35.0	502.5	3.33186974e-01	3.20563436e+02
35.0	503.0	3.29323247e-01	3.16846095e+02
35.0	503.5	3.25524953e-01	3.13191708e+02
35.0	504.0	3.21790651e-01	3.09598888e+02
35.0	504.5	3.18118936e-01	3.06066284e+02
35.0	505.0	3.14508443e-01	3.02592583e+02
35.0	505.5	3.10957843e-01	2.99176505e+02
35.0	506.0	3.07465841e-01	2.95816806e+02
35.0	506.5	3.04031178e-01	2.92512273e+02
35.0	507.0	3.00652627e-01	2.89261726e+02
35.0	507.5	2.97328993e-01	2.86064015e+02
35.0	508.0	2.94059112e-01	2.82918021e+02
35.0	508.5	2.90841852e-01	2.79822654e+02
35.0	509.0	2.87676108e-01	2.76776852e+02
35.0	509.5	2.84560804e-01	2.73779578e+02
35.0	510.0	2.81494892e-01	2.70829825e+02
35.0	510.5	2.78477351e-01	2.67926610e+02
35.0	511.0	2.75507184e-01	2.65068974e+02
35.0	511.5	2.72583421e-01	2.62255985e+02
35.0	512.0	2.69705115e-01	2.59486730e+02
35.0	512.5	2.66871345e-01	2.56760323e+02
35.0	513.0	2.64081209e-01	2.54075898e+02
35.0	513.5	2.61333832e-01	2.51432612e+02
35.0	514.0	2.58628356e-01	2.48829639e+02
35.0	514.5	2.55963948e-01	2.46266178e+02
35.0	515.0	2.53339793e-01	2.43741445e+02
35.0	515.5	2.50755095e-01	2.41254674e+02
35.0	516.0	2.48209081e-01	2.38805122e+02
35.0	516.5	2.45700993e-01	2.36392058e+02
35.0	517.0	2.43230092e-01	2.34014773e+02
35.0	517.5	2.40795659e-01	2.31672573e+02
35.0	518.0	2.38396988e-01	2.29364782e+02
35.0	518.5	2.36033393e-01	2.27090737e+02
35.0	519.0	2.33704204e-01	2.24849794e+02
35.0	519.5	2.31408764e-01	2.22641322e+02
35.0	520.0	2.29146435e-01	2.20464707e+02
35.0	520.5	2.26916591e-01	2.18319345e+02
35.0	521.0	2.24718622e-01	2.16204652e+02
35.0	521.5	2.22551932e-01	2.14120051e+02
35.0	522.0	2.20415938e-01	2.12064984e+02
35.0	522.5	2.18310070e-01	2.10038902e+02
35.0	523.0	2.16233773e-01	2.08041270e+02
35.0	523.5	2.14186503e-01	2.06071566e+02
35.0	524.0	2.12167728e-01	2.04129277e+02
35.0	524.5	2.10176929e-01	2.02213904e+02
35.0	525.0	2.08213599e-01	2.00324958e+02
35.0	525.5	2.06277240e-01	1.98461962e+02
35.0	526.0	2.04367367e-01	1.96624450e+02
35.0	526.5	2.02483506e-01	1.94811963e+02
35.0	527.0	2.00625192e-01	1.93024055e+02
35.0	527.5	1.98791972e-01	1.91260291e+02
35.0	528.0	1.96983400e-01	1.89520241e+02
35.0	528.5	1.95199044e-01	1.87803489e+02
35.0	529.0	1.93438477e-01	1.86109625e+02
35.0	529.5	1.91701285e-01	1.84438250e+02
35.0	530.0	1.89987059e-01	1.82788972e+02
35.0	530.5	1.88295402e-01	1.81161407e+02
35.0	531.0	1.86625925e-01	1.79555182e+02
35.0	531.5	1.84978245e-01	1.77969928e+02
35.0	532.0	1.83351990e-01	1.76405287e+02
35.0	532.5	1.81746794e-01	1.74860908e+02
35.0	533.0	1.80162299e-01	1.73336445e+02
35.0	533.5	1.78598156e-01	1.71831563e+02
35.0	534.0	1.77054020e-01	1.70345930e+02
35.0	534.5	1.75529557e-01	1.68879224e+02
35.0	535.0	1.74024437e-01	1.67431129e+02
35.0	535.5	1.72538338e-01	1.66001335e+02
35.0	536.0	1.71070944e-01	1.64589537e+02
