# Vacuum reference incident electric field (atomic units), single polarization 'y'.
# Columns: time, xx, yy, zz — only the co-polarized diagonal is non-zero.
time,xx,yy,zz
5598.859251664,0.0,-2.2070150046677434e-16,0.0
5598.959324218,0.0,-1.1844615125864363e-16,0.0
5599.059396772,0.0,5.083111467880712e-17,0.0
5599.159469326,0.0,1.9148139635491308e-16,0.0
5599.25954188,0.0,2.240298823342511e-16,0.0
5599.359614434,0.0,1.3008331160991466e-16,0.0
5599.459686988,0.0,-3.7275930581245643e-17,0.0
5599.559759542,0.0,-1.834828222527406e-16,0.0
5599.659832096,0.0,-2.259229385127319e-16,0.0
5599.75990465,0.0,-1.4061386724767286e-16,0.0
5599.859977204,0.0,2.4242609267780712e-17,0.0
5599.960049758,0.0,1.7549574771375714e-16,0.0
5600.060122312,0.0,2.27679887987345e-16,0.0
5600.160194866,0.0,1.5130687706268634e-16,0.0
5600.26026742,0.0,-1.0470797399468221e-17,0.0
5600.360339974,0.0,-1.6624215062547452e-16,0.0
5600.460412528,0.0,-2.2798864818918013e-16,0.0
5600.560485083,0.0,-1.6081905109729474e-16,0.0
5600.660557637,0.0,-2.6854937387684026e-18,0.0
5600.760630191,0.0,1.5706021965163475e-16,0.0
5600.860702745,0.0,2.28153981573222e-16,0.0
5600.960775299,0.0,1.704230092300449e-16,0.0
5601.060847853,0.0,1.6486187324851672e-17,0.0
5601.160920407,0.0,-1.4667610755207402e-16,0.0
5601.260992961,0.0,-2.26869362819204e-16,0.0
5601.361065515,0.0,-1.7877925766199688e-16,0.0
5601.461138069,0.0,-2.9577158699600994e-17,0.0
5601.561210623,0.0,1.3643196535628119e-16,0.0
5601.661283177,0.0,2.2544513038454093e-16,0.0
5601.761355731,0.0,1.871644587579833e-16,0.0
5601.861428285,0.0,4.321855929338679e-17,0.0
5601.961500839,0.0,-1.250576573902043e-16,0.0
5602.061573393,0.0,-2.225803097880238e-16,0.0
5602.161645947,0.0,-1.9424336899598326e-16,0.0
5602.261718501,0.0,-5.605680913374268e-17,0.0
5602.361791055,0.0,1.1389880687048489e-16,0.0
5602.461863609,0.0,2.1959077016373766e-16,0.0
5602.561936163,0.0,2.0129711837035247e-16,0.0
5602.662008717,0.0,6.935294330196785e-17,0.0
5602.762081271,0.0,-1.0168847435140577e-16,0.0
5602.862153825,0.0,-2.1518100377311894e-16,0.0
5602.962226379,0.0,-2.0699510830225542e-16,0.0
5603.062298933,0.0,-8.17545769515429e-17,0.0
5603.162371487,0.0,8.977521653488792e-17,0.0
5603.262444041,0.0,2.1067228784493886e-16,0.0
5603.362516595,0.0,2.12623299224443e-16,0.0
5603.462589149,0.0,9.452427202808014e-17,0.0
5603.562661703,0.0,-7.689473001456801e-17,0.0
5603.662734257,0.0,-2.0477442074597583e-16,0.0
5603.762806811,0.0,-2.1685606719087014e-16,0.0
5603.862879365,0.0,-1.0631147255177499e-16,0.0
5603.962951919,0.0,6.439792526630823e-17,0.0
5604.063024473,0.0,1.9881388967688374e-16,0.0
5604.163097027,0.0,2.20984498490491e-16,0.0
5604.263169581,0.0,1.1838088937614826e-16,0.0
5604.363242135,0.0,-5.102253772456368e-17,0.0
5604.463314689,0.0,-1.9150556419117311e-16,0.0
5604.563387243,0.0,-2.236882039093419e-16,0.0
5604.663459797,0.0,-1.2938440354642684e-16,0.0
5604.763532351,0.0,3.8121219043175545e-17,0.0
5604.863604905,0.0,1.8418087055956254e-16,0.0
5604.963677459,0.0,2.262636194566617e-16,0.0
5605.063750013,0.0,1.4058946697422818e-16,0.0
5605.163822567,0.0,-2.4433117634192216e-17,0.0
5605.263895121,0.0,-1.7555944357565463e-16,0.0
5605.363967675,0.0,-2.2739577749718236e-16,0.0
5605.464040229,0.0,-1.5065097180641854e-16,0.0
5605.564112783,0.0,1.1311989387205672e-17,0.0
5605.664185337,0.0,1.6697730866603034e-16,0.0
5605.764257891,0.0,2.2838661294296445e-16,0.0
5605.864330445,0.0,1.608396650060496e-16,0.0
5605.964402999,0.0,2.50225009189964e-18,0.0
5606.064475553,0.0,-1.5715849317864604e-16,0.0
5606.164548107,0.0,-2.279266907309898e-16,0.0
5606.264620661,0.0,-1.698139817833431e-16,0.0
5606.364693215,0.0,-1.565539303758287e-17,0.0
5606.464765769,0.0,1.4744321753722795e-16,0.0
5606.564838323,0.0,2.273235170808292e-16,0.0
5606.664910877,0.0,1.788484722161413e-16,0.0
5606.764983431,0.0,2.940741331053464e-17,0.0
5606.865055985,0.0,-1.3655946741316827e-16,0.0
5606.965128539,0.0,-2.252732230557963e-16,0.0
5607.065201093,0.0,-1.8660559696728715e-16,0.0
5607.165273647,0.0,-4.2404309938531456e-17,0.0
5607.265346201,0.0,1.258511954439214e-16,0.0
5607.365418755,0.0,2.2308888077798833e-16,0.0
5607.465491309,0.0,1.9436416426564342e-16,0.0
5607.565563863,0.0,5.590660462253822e-17,0.0
5607.665636417,0.0,-1.1404985591448338e-16,0.0
5607.765708971,0.0,-2.194721430956868e-16,0.0
5607.865781525,0.0,-2.0079108631194775e-16,0.0
5607.965854079,0.0,-6.856115894739554e-17,0.0
5608.065926633,0.0,1.025026187578272e-16,0.0
5608.165999187,0.0,2.1574156490397166e-16,0.0
5608.266071741,0.0,2.0716982511828802e-16,0.0
5608.366144295,0.0,8.162969331048222e-17,0.0
