# # polarizability field in atomic units, damped with signal_damped = signal * exp(-t/tau) where tau = 200

Timestamps (au),X Values,Y Values,Z Values
4.7,1.1711919130545382e-14,1.4414619846254153e-06,9.111303114344324e-08
4.8,1.2789959508311777e-14,1.4253044788252088e-06,8.875154257968208e-08
4.9,1.3000236739358782e-14,1.4069397918355491e-06,8.650593209827888e-08
5.0,1.3643425158035285e-14,1.3863987768186952e-06,8.441208584944536e-08
5.1,1.363660515060021e-14,1.3637156508233495e-06,8.248787401573109e-08
5.2,1.4062480252390033e-14,1.3389279381252456e-06,8.073837701763247e-08
5.3,1.448792617808189e-14,1.3120764085936158e-06,7.918543777405881e-08
5.4,1.4480684025681826e-14,1.283205010653968e-06,7.784223396584535e-08
5.5,1.4473445493452844e-14,1.2523607994698727e-06,7.67009935375997e-08
5.6,1.4466210579585313e-14,1.2195938606900459e-06,7.576688133318803e-08
5.7,1.4890590604129322e-14,1.1849572292313391e-06,7.504763627164429e-08
5.8,1.5314542739981215e-14,1.1485068033862956e-06,7.452721126859996e-08
5.9,1.5306887382610055e-14,1.110301254959048e-06,7.419459301468516e-08
6.0,1.5514718047058858e-14,1.0704019350767457e-06,7.405133497409186e-08
6.1,1.5291588146120625e-14,1.0288727755553055e-06,7.407849251100258e-08
6.2,1.485341062196128e-14,9.857801866415121e-07,7.42524103377684e-08
6.3,1.463082655891552e-14,9.411929511732342e-07,7.456803715437957e-08
6.4,1.4193409651414477e-14,8.951821147271343e-07,7.50083702599205e-08
6.5,1.3541482233175256e-14,8.478208724128728e-07,7.554292075001179e-08
6.6,1.2890203032820828e-14,7.991844528084484e-07,7.616031726445799e-08
6.7,1.223957156519572e-14,7.493499985413989e-07,7.684879006177621e-08
6.8,1.201883132122558e-14,6.983964437973039e-07,7.757780834204779e-08
6.9,1.1369279296543423e-14,6.464043895818119e-07,7.833096690136537e-08
7.0,1.0720373658319087e-14,5.934559764567082e-07,7.910291542906843e-08
7.1,9.64351333018199e-15,5.39634754601137e-07,7.986937227269829e-08
7.2,8.996113260171505e-15,4.850255520972958e-07,8.061119803025413e-08
7.3,8.135271915690259e-15,4.297143415803518e-07,8.132861980541203e-08
7.4,7.489268036224156e-15,3.737881048015355e-07,8.200800475185621e-08
7.5,5.9884194705668325e-15,3.173346957885065e-07,8.263050221145652e-08
7.6,4.916599936177232e-15,2.6044270319936925e-07,8.31995958415839e-08
7.7,3.845850457055259e-15,2.0320131137651444e-07,8.37138885513301e-08
7.8,2.776170231234058e-15,1.4570016036747602e-07,8.415797756803297e-08
7.9,2.134448071601454e-15,8.802920581776009e-08,8.453567136256268e-08
8.0,8.5335244573088e-16,3.0278578485699234e-08,8.485631928667536e-08
8.1,0.0,-2.746155680501698e-08,8.511052355102475e-08
8.2,-1.0656243997739777e-15,-8.510114183581385e-08,8.529977599666672e-08
8.3,-1.9171650973588973e-15,-1.425503651000357e-07,8.54400986511915e-08
8.4,-2.7678542008229944e-15,-1.9971980183245181e-07,8.552935098735994e-08
8.5,-4.25610864561031e-15,-2.5652055327777817e-07,8.556508028309485e-08
8.6,-5.1047773478549134e-15,-3.128643845600553e-07,8.556439137046544e-08
8.7,-5.7400037968182955e-15,-3.6866386166429903e-07,8.553193699388971e-08
8.8,-6.7995668293935316e-15,-4.2383248729653795e-07,8.546104245148237e-08
8.9,-7.645688882755929e-15,-4.782848346976375e-07,8.536423031797233e-08
9.0,-8.066415160192308e-15,-5.319366796621951e-07,8.525075580635832e-08
9.1,-9.335390796653352e-15,-5.84705130993289e-07,8.511072903824433e-08
9.2,-9.966910013528805e-15,-6.365087584659111e-07,8.494777449504381e-08
9.3,-1.0173883714905368e-14,-6.872677181125019e-07,8.477230973834091e-08
9.4,-1.0804347922357165e-14,-7.369038753537257e-07,8.457309974675335e-08
9.5,-1.1010691159473523e-14,-7.853409253400105e-07,8.434298762202491e-08
9.6,-1.164010183557779e-14,-8.325045098726595e-07,8.408971871368626e-08
9.7,-1.205734808450045e-14,-8.783223314448849e-07,8.380286382428665e-08
9.8,-1.2051320917375547e-14,-9.227242642305607e-07,8.346549741688783e-08
9.9,-1.225661775892446e-14,-9.656424611356804e-07,8.307952548418247e-08
10.0,-1.2039275620110579e-14,-1.0070114571797762e-06,8.263717672573736e-08
10.1,-1.2244367267432156e-14,-1.046768269501146e-06,8.211544150457246e-08
10.2,-1.0972221102286951e-14,-1.084852493129872e-06,8.150885338177529e-08
10.3,-1.1177635139247095e-14,-1.121206392362722e-06,8.081346637035575e-08
10.4,-1.1382841071831081e-14,-1.1557749883122268e-06,8.000567569173778e-08
10.5,-1.1377151073913187e-14,-1.1885061420886837e-06,7.907336594150434e-08
10.6,-1.0739715924711837e-14,-1.2193506330311571e-06,7.801680215202554e-08
10.7,-9.892437808285137e-15,-1.2482622325524141e-06,7.681780066869751e-08
10.8,-9.677120637948172e-15,-1.2751977735307711e-06,7.5460627456064e-08
10.9,-8.831215175148767e-15,-1.3001172144420619e-06,7.39495540487355e-08
11.0,-8.406476829789645e-15,-1.3229836985168456e-06,7.227697730559084e-08
11.1,-7.351990311758087e-15,-1.3437636083032343e-06,7.042834466389076e-08
11.2,-6.718459643838033e-15,-1.3624266148980146e-06,6.841147387946494e-08
11.3,-5.246172854440327e-15,-1.3789457217052995e-06,6.623250976054743e-08
11.4,-4.824066389781398e-15,-1.3932973033503387e-06,6.388356812785637e-08
11.5,-3.563831926582756e-15,-1.4054611393505665e-06,6.137567561851195e-08
11.6,-2.514388557193566e-15,-1.415420442014693e-06,5.872922025206027e-08
11.7,-1.256565838580581e-15,-1.4231618791592762e-06,5.594781112228293e-08
11.8,-6.279688563529227e-16,-1.4286755917165442e-06,5.3045682456274595e-08
11.9,6.276549504077722e-16,-1.4319552055271309e-06,5.00552397063815e-08
12.0,1.4637961365448462e-15,-1.4329978376077514e-06,4.69944222588875e-08
12.1,2.5081104367210266e-15,-1.4318040973894523e-06,4.388096352612757e-08
12.2,3.551380317865985e-15,-1.4283780823321246e-06,4.075486632692075e-08
12.3,4.5936065631896186e-15,-1.422727367784804e-06,3.764830917183019e-08
12.4,5.426094031106457e-15,-1.414862991792465e-06,3.4582803245856706e-08
12.5,6.674931276602619e-15,-1.4047994346180553e-06,3.16002749418282e-08
12.6,7.297056643178404e-15,-1.3925545924945635e-06,2.874379329172819e-08
12.7,8.126941487046823e-15,-1.378149746221641e-06,2.6038422745026613e-08
12.8,9.372552729232725e-15,-1.3616095248475444e-06,2.3522187175362135e-08
12.9,1.0200566968619027e-14,-1.3429618638191257e-06,2.124287473109636e-08
13.0,1.1443892608155523e-14,-1.3222379578869989e-06,1.9227867001337137e-08
13.1,1.1854105622721443e-14,-1.2994722093953589e-06,1.750632629837188e-08
13.2,1.2679631283105396e-14,-1.2747021714994612e-06,1.6122840969196595e-08
